Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Michael Lyons,33,7,15,.467,4,6,.667,3,9,.333,9,12,.750,2,3,5,2,3,0,2,2,26
Mike Fitzgerald,32,4,8,.500,4,7,.571,0,1,.000,5,6,.833,1,2,3,2,1,0,0,1,13
Taylor Broekhuis,29,3,6,.500,3,6,.500,0,0,,0,0,,3,4,7,1,3,2,1,0,6
Kyle Green,29,2,8,.250,1,1,1.000,1,7,.143,0,0,,0,0,0,2,0,0,1,1,5
Todd Fletcher,28,2,4,.500,2,2,1.000,0,2,.000,0,0,,0,1,1,5,4,0,1,4,4
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Tre` Coggins,12,1,2,.500,0,1,.000,1,1,1.000,1,2,.500,0,1,1,0,1,0,1,0,4
Marek Olesinski,10,1,3,.333,1,3,.333,0,0,,0,0,,4,2,6,0,0,0,1,2,2
DeLovell Earls,9,1,2,.500,1,2,.500,0,0,,1,1,1.000,0,3,3,1,1,0,2,0,3
Max Yon,6,1,4,.250,1,3,.333,0,1,.000,0,0,,1,2,3,0,0,0,2,0,2
Cam Michael,6,0,2,.000,0,0,,0,2,.000,0,0,,0,0,0,0,1,0,0,0,0
Kamryn Williams,5,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0
Zach Moer,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
School Totals,200,22,54,.407,17,31,.548,5,23,.217,16,21,.762,11,18,29,13,14,2,12,11,65